Año,CLAVE,MUJER,HOMBRE,SIN ESPECIFICAR
2020,01,4135,5785,3
2020,02,12843,22496,148
2020,03,1955,2985,0
2020,04,3068,4420,2
2020,05,12215,16258,7
2020,06,2493,4007,1
2020,07,16361,22293,8
2020,08,15631,24094,18
2020,09,55287,77460,4
2020,10,5916,8025,7
2020,11,20932,31199,221
2020,12,10283,15340,7
2020,13,9462,12901,2
2020,14,27320,38224,26
2020,15,52357,78740,36
2020,16,15069,21349,7
2020,17,7545,11159,3
2020,18,3482,5072,3
2020,19,18154,25514,12
2020,20,14050,18554,5
2020,21,24697,32912,17
2020,22,6515,9136,2
2020,23,4040,6975,2
2020,24,10378,14186,15
2020,25,9570,14738,24
2020,26,11096,17332,65
2020,27,9279,13106,1
2020,28,11939,16934,40
2020,29,4825,6865,2
2020,30,31928,42050,3
2020,31,8065,10563,4
2020,32,5819,8605,62
2021,01,4410,5691,4
2021,02,10962,20283,199
2021,03,2331,3645,1
2021,04,3154,4239,6
2021,05,10552,13536,5
2021,06,3015,4606,4
2021,07,17374,22245,10
2021,08,13087,18825,27
2021,09,55841,71682,14
2021,10,5950,7570,5
2021,11,23576,32787,84
2021,12,11527,16275,14
2021,13,10324,14228,2
2021,14,31764,43889,22
2021,15,54549,74949,61
2021,16,19170,27180,12
2021,17,9170,13630,8
2021,18,4202,6164,8
2021,19,19540,27002,16
2021,20,17339,22111,6
2021,21,29015,37102,20
2021,22,7846,10746,5
2021,23,4263,6979,1
2021,24,10682,14624,16
2021,25,9913,14150,5
2021,26,10248,15743,89
2021,27,8509,11155,1
2021,28,11824,15894,47
2021,29,5104,6829,2
2021,30,34956,43163,7
2021,31,8531,10993,3
2021,32,5961,8910,31
2022,01,3717,4625,10
2022,02,9690,17394,232
2022,03,1718,2672,0
2022,04,2388,3078,4
2022,05,9641,11899,8
2022,06,2313,3748,4
2022,07,14123,17301,7
2022,08,11862,17441,35
2022,09,39636,43257,9
2022,10,5021,6472,5
2022,11,18221,24850,292
2022,12,8538,11704,22
2022,13,8103,9909,19
2022,14,24770,32870,39
2022,15,41041,50712,46
2022,16,13499,18971,28
2022,17,6837,9160,6
2022,18,3232,4667,4
2022,19,17211,22235,9
2022,20,13683,15833,7
2022,21,20382,23966,34
2022,22,6061,7849,2
2022,23,3328,5500,7
2022,24,8819,11612,3
2022,25,7284,10461,9
2022,26,8804,13511,80
2022,27,6747,8715,2
2022,28,9934,13077,47
2022,29,3552,4210,0
2022,30,28144,32745,13
2022,31,7150,8529,4
2022,32,5082,7212,13
2023,01,3353,4229,9
2023,02,8741,16158,101
2023,03,1621,2455,0
2023,04,2299,3124,2
2023,05,8885,11003,2
2023,06,2343,3626,2
2023,07,13831,16730,15
2023,08,11399,16262,24
2023,09,37830,40787,8
2023,10,4492,5540,2
2023,11,17252,22795,32
2023,12,7891,10716,11
2023,13,7780,9329,16
2023,14,23477,30352,23
2023,15,39314,48282,46
2023,16,12798,17250,18
2023,17,6773,8780,1
2023,18,3052,4202,2
2023,19,16145,21122,11
2023,20,12880,14593,5
2023,21,19536,22184,16
2023,22,5676,7207,1
2023,23,3544,5900,3
2023,24,8275,10341,8
2023,25,6858,10102,18
2023,26,8019,12224,34
2023,27,6488,8649,2
2023,28,9455,12254,76
2023,29,3353,3989,0
2023,30,27858,31811,5
2023,31,7014,8594,1
2023,32,4397,6144,12
